,brand,model,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,is_exchangeable,number_of_photos,views,duration_listed_days,price_eur,engine_type_automatic,engine_type_manual,engine_fuel_gasoline,engine_fuel_diesel,engine_fuel_petrol,engine_fuel_hybrid-petrol,engine_fuel_hybrid-diesel
1,Subaru,Outback,automatic,blue,0.44385260227344087,-0.22513768413132607,gasoline,0,gasoline,1.3770973809099487,universal,0,owned,all,1,0.3489535643918705,0.8541933582212405,0.020974541065429248,-0.30469279970658253,0,0,1,0,0,0,0
2,Subaru,Forester,automatic,red,1.4261341136336405,-0.35563461794235035,gasoline,0,gasoline,0.6407866367279145,suv,0,owned,all,1,-0.9650649026005722,1.264205797437326,0.626605078075135,-0.6551389768082221,0,0,1,0,0,0,0
4,Subaru,Legacy,automatic,black,0.3561488959019945,-0.35563461794235035,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,0.6774581811399811,-0.21639467750964936,-0.6559066473571832,-0.7612108929380266,0,0,1,0,0,0,0
5,Subaru,Outback,automatic,silver,0.09303777678765529,0.9493347201678929,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,1.6629720313843133,0.8997502959119167,-0.12152676176038388,1.2404562538779196,0,0,1,0,0,0,0
10,Subaru,Forester,mechanical,other,0.3561488959019945,-0.09464075032030174,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,1,0.6774581811399811,-0.23917314635498743,-0.6202813216507298,-0.002034737664257375,0,0,1,0,0,0,0
14,Subaru,Outback,automatic,brown,0.09303777678765529,0.9493347201678929,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,2.3199812648805347,0.3986239813144789,-0.15715208746683715,0.2687645810051914,0,0,1,0,0,0,0
18,Subaru,Forester,automatic,silver,-0.5296585384496142,1.340825521600966,gasoline,0,gasoline,-0.0955241074541198,suv,0,owned,all,0,0.6774581811399811,-0.05694539559228278,-0.5757496645176633,0.9218688201491563,0,0,1,0,0,0,0
20,Subaru,Outback,automatic,white,0.15877170471305435,0.55784391873482,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,0,0.0204489476437598,-0.12528080212829704,-0.6024686587975032,0.2846939526916296,0,0,1,0,0,0,0
21,Subaru,Tribeca,automatic,silver,0.09303777678765529,0.1663531173017469,gasoline,0,gasoline,1.3770973809099487,suv,0,owned,all,0,1.3344674146362026,0.03416847978906955,0.9561393408598279,0.09354149245437163,0,0,1,0,0,0,0
23,Subaru,Legacy,automatic,green,0.08819653219595146,-0.22513768413132607,gasoline,0,gasoline,0.6407866367279145,universal,0,owned,all,1,0.3489535643918705,0.6264086697678597,-0.12152676176038388,-0.49584525994384054,0,0,1,0,0,0,0
